Model,MSO2024,
Firmware Version,CF:91.1CT FV:v1.39,
,,
Waveform Type,ANALOG,ANALOG
Point Format,Y,Y
Horizontal Units,"s","s"
Horizontal Scale,0.002,0.002
Horizontal Delay,0.0181402,0.0181402
Sample Interval,1.6E-07,1.6E-07
Record Length,125000,125000
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1X,1X
Vertical Units,"V","V"
Vertical Offset,11,-10.5
Vertical Scale,5,5
Vertical Position,0.44,-0.42
,,
,,
,,
Label,"",""
TIME,CH1,CH2
0.00829284,0,0.1
0.008293,0,0.1
0.00829316,0,0.1
0.00829332,0,0.1
0.00829348,0,0.1
0.00829364,0,0.1
0.0082938,0,0.1
0.00829396,0,0.1
0.00829412,0,0.1
0.00829428,0,0.1
0.00829444,0,0.1
0.0082946,0,0.1
0.00829476,0,0.1
0.00829492,0,0.1
0.00829508,0,0.1
0.00829524,0,0.1
0.0082954,0,0.1
0.00829556,0,0.1
0.00829572,0,0.1
0.00829588,0,0.1
0.00829604,0,0.1
0.0082962,0,0.1
0.00829636,0,0.1
0.00829652,0,0.1
0.00829668,0,0.1
0.00829684,0,0.1
0.008297,0,0.1
0.00829716,0,0.1
0.00829732,0,0.1
0.00829748,0,0.1
0.00829764,0,0.1
0.0082978,0,0.1
0.00829796,0,0.1
0.00829812,0,0.1
0.00829828,0,0.1
0.00829844,0,0.1
0.0082986,0,0.1
0.00829876,0,0.1
0.00829892,0,0.1
0.00829908,0,0.1
0.00829924,0,0.1
0.0082994,0,0.1
0.00829956,0,0.1
0.00829972,0,0.1
0.00829988,0,0.1
0.00830004,0,0.1
0.0083002,0,0.1
0.00830036,0,0.1
0.00830052,0,0.1
0.00830068,0,0.1
0.00830084,0,0.1
0.008301,0,0.1
0.00830116,0,0.1
0.00830132,0,0.1
0.00830148,0,0.1
0.00830164,0,0.1
0.0083018,0,0.1
0.00830196,0,0.1
0.00830212,0,0.1
0.00830228,0,0.1
0.00830244,0,0.1
0.0083026,0,0.1
0.00830276,0,0.1
0.00830292,0,0.1
0.00830308,0,0.1
0.00830324,0,0.1
0.0083034,0,0.1
0.00830356,0,0.1
0.00830372,0,0.1
0.00830388,0,0.1
0.00830404,0,0.1
0.0083042,0,0.1
0.00830436,0,0.1
0.00830452,0,0.1
0.00830468,0,0.1
0.00830484,0,0.1
0.008305,0,0.1
0.00830516,0,0.1
0.00830532,0,0.1
0.00830548,0,0.1
0.00830564,0,0.1
0.0083058,0,0.1
0.00830596,0,0.1
0.00830612,0,0.1
0.00830628,0,0.1
0.00830644,0,0.1
0.0083066,0,0.1
0.00830676,0,0.1
0.00830692,0,0.1
0.00830708,0,0.1
0.00830724,0,0.1
0.0083074,0,0.1
0.00830756,0,0.1
0.00830772,0,0.1
0.00830788,0,0.1
0.00830804,0,0.1
0.0083082,0,0.1
0.00830836,0,0.1
0.00830852,0,0.1
0.00830868,0,0.1
0.00830884,0,0.1
0.008309,0,0.1
0.00830916,0,0.1
0.00830932,0,0.1
0.00830948,0,0.1
0.00830964,0,0.1
0.0083098,0,0.1
0.00830996,0,0.1
0.00831012,0,0.1
0.00831028,0,0.1
0.00831044,0,0.1
0.0083106,0,0.1
0.00831076,0,0.1
0.00831092,0,0.1
0.00831108,0,0.1
0.00831124,0,0.1
0.0083114,0,0.1
0.00831156,0,0.1
0.00831172,0,0.1
0.00831188,0,0.1
